Age:int,Attrition:string,BusinessTravel:string,DailyRate:int,Department:string,DistanceFromHome:int,Education:string,EducationField:string,EmployeeCount:int,EmployeeNumber:int,EnvironmentSatisfaction:string,Gender:string,HourlyRate:int,JobInvolvement:string,JobLevel:int,JobRole:string,JobSatisfaction:int,MaritalStatus:string,MonthlyIncome:int,MonthlyRate:int,NumCompaniesWorked:int,Over18:string,OverTime:string,PercentSalaryHike:int,PerformanceRating:string,RelationshipSatisfaction:string,StandardHours:int,StockOptionLevel:int,TotalWorkingYears:int,TrainingTimesLastYear:int,WorkLifeBalance:string,YearsAtCompany:int,YearsInCurrentRole:int,YearsSinceLastPromotion:int,YearsWithCurrManager:int
37,No,Travel_Rarely,1305,Research & Development,10,Master,Life Sciences,1,518,High,Male,49,High,2,Manufacturing Director,2,Single,4197,21123,2,Y,Yes,12,Excellent,Very High,80,0,18,2,Good,1,0,0,1
43,No,Travel_Rarely,982,Research & Development,12,Bachelor,Life Sciences,1,520,Low,Male,59,Medium,4,Research Director,2,Divorced,14336,4345,1,Y,No,11,Excellent,High,80,1,25,3,Better,25,10,3,9
40,No,Travel_Rarely,555,Research & Development,2,Bachelor,Medical,1,521,Medium,Female,78,Medium,2,Laboratory Technician,3,Married,3448,13436,6,Y,No,22,Outstanding,Medium,80,1,20,3,Better,1,0,0,0
54,No,Travel_Rarely,821,Research & Development,5,College,Medical,1,522,Low,Male,86,High,5,Research Director,1,Married,19406,8509,4,Y,No,11,Excellent,High,80,1,24,4,Good,4,2,1,2
34,No,Non-Travel,1381,Sales,4,Master,Marketing,1,523,High,Female,72,High,2,Sales Executive,3,Married,6538,12740,9,Y,No,15,Excellent,Low,80,1,6,3,Better,3,2,1,2
31,No,Travel_Rarely,480,Research & Development,7,College,Medical,1,524,Medium,Female,31,High,2,Manufacturing Director,1,Married,4306,4156,1,Y,No,12,Excellent,Medium,80,1,13,5,Bad,13,10,3,12
43,No,Travel_Frequently,313,Research & Development,21,Bachelor,Medical,1,525,Very High,Male,61,High,1,Laboratory Technician,4,Married,2258,15238,7,Y,No,20,Outstanding,Low,80,1,8,1,Better,3,2,1,2
43,No,Travel_Rarely,1473,Research & Development,8,Master,Other,1,526,High,Female,74,High,2,Healthcare Representative,3,Divorced,4522,2227,4,Y,Yes,14,Excellent,Very High,80,0,8,3,Better,5,2,0,2
25,No,Travel_Rarely,891,Sales,4,College,Life Sciences,1,527,Medium,Female,99,Medium,2,Sales Executive,4,Single,4487,12090,1,Y,Yes,11,Excellent,Medium,80,0,5,3,Better,5,4,1,3
37,No,Non-Travel,1063,Research & Development,25,Doctor,Medical,1,529,Medium,Female,72,High,2,Research Scientist,3,Married,4449,23866,3,Y,Yes,15,Excellent,Low,80,2,15,2,Better,13,11,10,7
31,No,Travel_Rarely,329,Research & Development,1,College,Life Sciences,1,530,Very High,Male,98,Medium,1,Laboratory Technician,1,Married,2218,16193,1,Y,No,12,Excellent,High,80,1,4,3,Better,4,2,3,2
39,No,Travel_Frequently,1218,Research & Development,1,Below College,Life Sciences,1,531,Medium,Male,52,High,5,Manager,3,Divorced,19197,8213,1,Y,Yes,14,Excellent,High,80,1,21,3,Better,21,8,1,6
56,No,Travel_Frequently,906,Sales,6,Bachelor,Life Sciences,1,532,High,Female,86,Very High,4,Sales Executive,1,Married,13212,18256,9,Y,No,11,Excellent,Very High,80,3,36,0,Good,7,7,7,7
30,No,Travel_Rarely,1082,Sales,12,Bachelor,Technical Degree,1,533,Medium,Female,83,High,2,Sales Executive,3,Single,6577,19558,0,Y,No,11,Excellent,Medium,80,0,6,6,Better,5,4,4,4
41,No,Travel_Rarely,645,Sales,1,Bachelor,Marketing,1,534,Medium,Male,49,Very High,3,Sales Executive,1,Married,8392,19566,1,Y,No,16,Excellent,High,80,1,10,2,Better,10,7,0,7
28,No,Travel_Rarely,1300,Research & Development,17,College,Medical,1,536,High,Male,79,High,2,Laboratory Technician,1,Divorced,4558,13535,1,Y,No,12,Excellent,Very High,80,1,10,2,Better,10,0,1,8
25,Yes,Travel_Rarely,688,Research & Development,3,Bachelor,Medical,1,538,Low,Male,91,High,1,Laboratory Technician,1,Married,4031,9396,5,Y,No,13,Excellent,High,80,1,6,5,Better,2,2,0,2
52,No,Travel_Rarely,319,Research & Development,3,Bachelor,Medical,1,543,Very High,Male,39,Medium,3,Manufacturing Director,3,Married,7969,19609,2,Y,Yes,14,Excellent,High,80,0,28,4,Better,5,4,0,4
45,No,Travel_Rarely,192,Research & Development,10,College,Life Sciences,1,544,Low,Male,69,High,1,Research Scientist,4,Married,2654,9655,3,Y,No,21,Outstanding,Very High,80,2,8,3,Good,2,2,0,2
52,No,Travel_Rarely,1490,Research & Development,4,College,Life Sciences,1,546,Very High,Female,30,High,4,Manager,4,Married,16555,10310,2,Y,No,13,Excellent,Very High,80,0,31,2,Bad,5,2,1,4
42,No,Travel_Frequently,532,Research & Development,29,College,Life Sciences,1,547,Low,Female,92,High,2,Research Scientist,3,Divorced,4556,12932,2,Y,No,11,Excellent,Medium,80,1,19,3,Better,5,4,0,2
30,No,Travel_Rarely,317,Research & Development,2,Bachelor,Life Sciences,1,548,High,Female,43,Low,2,Manufacturing Director,4,Single,6091,24793,2,Y,No,20,Outstanding,High,80,0,11,2,Better,5,4,0,2
60,No,Travel_Rarely,422,Research & Development,7,Bachelor,Life Sciences,1,549,Low,Female,41,High,5,Manager,1,Married,19566,3854,5,Y,No,11,Excellent,Very High,80,0,33,5,Bad,29,8,11,10
46,No,Travel_Rarely,1485,Research & Development,18,Bachelor,Medical,1,550,High,Female,87,High,2,Manufacturing Director,3,Divorced,4810,26314,2,Y,No,14,Excellent,High,80,1,19,5,Good,10,7,0,8
42,No,Travel_Frequently,1368,Research & Development,28,Master,Technical Degree,1,551,Very High,Female,88,Medium,2,Healthcare Representative,4,Married,4523,4386,0,Y,No,11,Excellent,Very High,80,3,7,4,Best,6,5,0,4
24,Yes,Travel_Rarely,1448,Sales,1,Below College,Technical Degree,1,554,Low,Female,62,High,1,Sales Representative,2,Single,3202,21972,1,Y,Yes,16,Excellent,Medium,80,0,6,4,Better,5,3,1,4
34,Yes,Travel_Frequently,296,Sales,6,College,Marketing,1,555,Very High,Female,33,Low,1,Sales Representative,3,Divorced,2351,12253,0,Y,No,16,Excellent,Very High,80,1,3,3,Good,2,2,1,0
38,No,Travel_Frequently,1490,Research & Development,2,College,Life Sciences,1,556,Very High,Male,42,High,1,Laboratory Technician,4,Married,1702,12106,1,Y,Yes,23,Outstanding,High,80,1,1,3,Better,1,0,0,0
40,No,Travel_Rarely,1398,Sales,2,Master,Life Sciences,1,558,High,Female,79,High,5,Manager,3,Married,18041,13022,0,Y,No,14,Excellent,Very High,80,0,21,2,Better,20,15,1,12
26,No,Travel_Rarely,1349,Research & Development,23,Bachelor,Life Sciences,1,560,Low,Female,90,High,1,Research Scientist,4,Divorced,2886,3032,1,Y,No,22,Outstanding,Medium,80,2,3,3,Bad,3,2,0,2
30,No,Non-Travel,1400,Research & Development,3,Bachelor,Life Sciences,1,562,High,Male,53,High,1,Laboratory Technician,4,Married,2097,16734,4,Y,No,15,Excellent,High,80,1,9,3,Bad,5,3,1,4
29,No,Travel_Rarely,986,Research & Development,3,Master,Medical,1,564,Medium,Male,93,Medium,3,Research Director,3,Married,11935,21526,1,Y,No,18,Excellent,High,80,0,10,2,Better,10,2,0,7
29,Yes,Travel_Rarely,408,Research & Development,25,Doctor,Technical Degree,1,565,High,Female,71,Medium,1,Research Scientist,2,Married,2546,18300,5,Y,No,16,Excellent,Medium,80,0,6,2,Best,2,2,1,1
19,Yes,Travel_Rarely,489,Human Resources,2,College,Technical Degree,1,566,Low,Male,52,Medium,1,Human Resources,4,Single,2564,18437,1,Y,No,12,Excellent,High,80,0,1,3,Best,1,0,0,0
30,No,Non-Travel,1398,Sales,22,Master,Other,1,567,High,Female,69,High,3,Sales Executive,1,Married,8412,2890,0,Y,No,11,Excellent,High,80,0,10,3,Better,9,8,7,8
57,No,Travel_Rarely,210,Sales,29,Bachelor,Marketing,1,568,Low,Male,56,Medium,4,Manager,4,Divorced,14118,22102,3,Y,No,12,Excellent,High,80,1,32,3,Good,1,0,0,0
50,No,Travel_Rarely,1099,Research & Development,29,Master,Life Sciences,1,569,Medium,Male,88,Medium,4,Manager,3,Married,17046,9314,0,Y,No,15,Excellent,Medium,80,1,28,2,Better,27,10,15,7
30,No,Non-Travel,1116,Research & Development,2,Bachelor,Medical,1,571,High,Female,49,High,1,Laboratory Technician,4,Single,2564,7181,0,Y,No,14,Excellent,High,80,0,12,2,Good,11,7,6,7
60,No,Travel_Frequently,1499,Sales,28,Bachelor,Marketing,1,573,High,Female,80,Medium,3,Sales Executive,1,Married,10266,2845,4,Y,No,19,Excellent,Very High,80,0,22,5,Best,18,13,13,11
47,No,Travel_Rarely,983,Research & Development,2,College,Medical,1,574,Low,Female,65,High,2,Manufacturing Director,4,Divorced,5070,7389,5,Y,No,13,Excellent,High,80,3,20,2,Better,5,0,0,4
46,No,Travel_Rarely,1009,Research & Development,2,Bachelor,Life Sciences,1,575,Low,Male,51,High,4,Research Director,3,Married,17861,2288,6,Y,No,13,Excellent,High,80,0,26,2,Bad,3,2,0,1
35,No,Travel_Rarely,144,Research & Development,22,Bachelor,Life Sciences,1,577,Very High,Male,46,Low,1,Laboratory Technician,3,Single,4230,19225,0,Y,No,15,Excellent,High,80,0,6,2,Better,5,4,4,3
54,No,Travel_Rarely,548,Research & Development,8,Master,Life Sciences,1,578,High,Female,42,High,2,Laboratory Technician,3,Single,3780,23428,7,Y,No,11,Excellent,High,80,0,19,3,Better,1,0,0,0
34,No,Travel_Rarely,1303,Research & Development,2,Master,Life Sciences,1,579,Very High,Male,62,Medium,1,Research Scientist,3,Divorced,2768,8416,3,Y,No,12,Excellent,High,80,1,14,3,Better,7,3,5,7
46,No,Travel_Rarely,1125,Sales,10,Bachelor,Marketing,1,580,High,Female,94,Medium,3,Sales Executive,4,Married,9071,11563,2,Y,Yes,19,Excellent,High,80,1,15,3,Better,3,2,1,2
31,No,Travel_Rarely,1274,Research & Development,9,Below College,Life Sciences,1,581,High,Male,33,High,3,Manufacturing Director,2,Divorced,10648,14394,1,Y,No,25,Outstanding,Very High,80,1,13,6,Best,13,8,0,8
33,Yes,Travel_Rarely,1277,Research & Development,15,Below College,Medical,1,582,Medium,Male,56,High,3,Manager,3,Married,13610,24619,7,Y,Yes,12,Excellent,Very High,80,0,15,2,Best,7,6,7,7
33,Yes,Travel_Rarely,587,Research & Development,10,Below College,Medical,1,584,Low,Male,38,Low,1,Laboratory Technician,4,Divorced,3408,6705,7,Y,No,13,Excellent,Low,80,3,8,2,Better,4,3,1,3
30,No,Travel_Rarely,413,Sales,7,Below College,Marketing,1,585,Very High,Male,57,High,1,Sales Representative,2,Single,2983,18398,0,Y,No,14,Excellent,Low,80,0,4,3,Better,3,2,1,2
35,No,Travel_Rarely,1276,Research & Development,16,Bachelor,Life Sciences,1,586,Very High,Male,72,High,3,Healthcare Representative,3,Married,7632,14295,4,Y,Yes,12,Excellent,High,80,0,10,2,Better,8,7,0,0
31,Yes,Travel_Frequently,534,Research & Development,20,Bachelor,Life Sciences,1,587,Low,Male,66,High,3,Healthcare Representative,3,Married,9824,22908,3,Y,No,12,Excellent,Low,80,0,12,2,Better,1,0,0,0
34,Yes,Travel_Frequently,988,Human Resources,23,Bachelor,Human Resources,1,590,Medium,Female,43,High,3,Human Resources,1,Divorced,9950,11533,9,Y,Yes,15,Excellent,High,80,3,11,2,Better,3,2,0,2
42,No,Travel_Frequently,1474,Research & Development,5,College,Other,1,591,Medium,Male,97,High,1,Laboratory Technician,3,Married,2093,9260,4,Y,No,17,Excellent,Very High,80,1,8,4,Better,2,2,2,0
36,No,Non-Travel,635,Sales,10,Master,Medical,1,592,Medium,Male,32,High,3,Sales Executive,4,Single,9980,15318,1,Y,No,14,Excellent,Very High,80,0,10,3,Good,10,3,9,7
22,Yes,Travel_Frequently,1368,Research & Development,4,Below College,Technical Degree,1,593,High,Male,99,Medium,1,Laboratory Technician,3,Single,3894,9129,5,Y,No,16,Excellent,High,80,0,4,3,Better,2,2,1,2
48,No,Travel_Rarely,163,Sales,2,Doctor,Marketing,1,595,Medium,Female,37,High,2,Sales Executive,4,Married,4051,19658,2,Y,No,14,Excellent,Low,80,1,14,2,Better,9,7,6,7
55,No,Travel_Rarely,1117,Sales,18,Doctor,Life Sciences,1,597,Low,Female,83,High,4,Manager,2,Single,16835,9873,3,Y,No,23,Outstanding,Very High,80,0,37,2,Better,10,9,7,7
41,No,Non-Travel,267,Sales,10,College,Life Sciences,1,599,Very High,Male,56,High,2,Sales Executive,4,Single,6230,13430,7,Y,No,14,Excellent,Very High,80,0,16,3,Better,14,3,1,10
35,No,Travel_Rarely,619,Sales,1,Bachelor,Marketing,1,600,Medium,Male,85,High,2,Sales Executive,3,Married,4717,18659,9,Y,No,11,Excellent,High,80,0,15,2,Better,11,9,6,9
40,No,Travel_Rarely,302,Research & Development,6,Bachelor,Life Sciences,1,601,Medium,Female,75,High,4,Manufacturing Director,3,Single,13237,20364,7,Y,No,15,Excellent,High,80,0,22,3,Better,20,6,5,13
39,No,Travel_Frequently,443,Research & Development,8,Below College,Life Sciences,1,602,High,Female,48,High,1,Laboratory Technician,3,Married,3755,17872,1,Y,No,11,Excellent,Low,80,1,8,3,Better,8,3,0,7
31,No,Travel_Rarely,828,Sales,2,Below College,Life Sciences,1,604,Medium,Male,77,High,2,Sales Executive,4,Single,6582,8346,4,Y,Yes,13,Excellent,High,80,0,10,2,Best,6,5,0,5
42,No,Travel_Rarely,319,Research & Development,24,Bachelor,Medical,1,605,Very High,Male,56,High,3,Manufacturing Director,1,Married,7406,6950,1,Y,Yes,21,Outstanding,Very High,80,1,10,5,Good,10,9,5,8
45,No,Travel_Rarely,561,Sales,2,Bachelor,Other,1,606,Very High,Male,61,High,2,Sales Executive,2,Married,4805,16177,0,Y,No,19,Excellent,Medium,80,1,9,3,Best,8,7,3,7
26,Yes,Travel_Frequently,426,Human Resources,17,Master,Life Sciences,1,608,Medium,Female,58,High,1,Human Resources,3,Divorced,2741,22808,0,Y,Yes,11,Excellent,Medium,80,1,8,2,Good,7,7,1,0
29,No,Travel_Rarely,232,Research & Development,19,Bachelor,Technical Degree,1,611,Very High,Male,34,High,2,Manufacturing Director,4,Divorced,4262,22645,4,Y,No,12,Excellent,Medium,80,2,8,2,Best,3,2,1,2
33,No,Travel_Rarely,922,Research & Development,1,Doctor,Medical,1,612,Low,Female,95,Very High,4,Research Director,3,Divorced,16184,22578,4,Y,No,19,Excellent,High,80,1,10,2,Better,6,1,0,5
31,No,Travel_Rarely,688,Sales,7,Bachelor,Life Sciences,1,613,High,Male,44,Medium,3,Manager,4,Divorced,11557,25291,9,Y,No,21,Outstanding,High,80,1,10,3,Good,5,4,0,1
18,Yes,Travel_Frequently,1306,Sales,5,Bachelor,Marketing,1,614,Medium,Male,69,High,1,Sales Representative,2,Single,1878,8059,1,Y,Yes,14,Excellent,Very High,80,0,0,3,Better,0,0,0,0
40,No,Non-Travel,1094,Sales,28,Bachelor,Other,1,615,High,Male,58,Low,3,Sales Executive,1,Divorced,10932,11373,3,Y,No,15,Excellent,High,80,1,20,2,Better,1,0,0,1
41,No,Non-Travel,509,Research & Development,2,Master,Other,1,616,Low,Female,62,Medium,2,Healthcare Representative,3,Single,6811,2112,2,Y,Yes,17,Excellent,Low,80,0,10,3,Better,8,7,0,7
26,No,Travel_Rarely,775,Sales,29,College,Medical,1,618,Low,Male,45,High,2,Sales Executive,3,Divorced,4306,4267,5,Y,No,12,Excellent,Low,80,2,8,5,Better,0,0,0,0
35,No,Travel_Rarely,195,Sales,1,Bachelor,Medical,1,620,Low,Female,80,High,2,Sales Executive,3,Single,4859,6698,1,Y,No,16,Excellent,Very High,80,0,5,3,Better,5,4,0,3
34,No,Travel_Rarely,258,Sales,21,Master,Life Sciences,1,621,Very High,Male,74,Very High,2,Sales Executive,4,Single,5337,19921,1,Y,No,12,Excellent,Very High,80,0,10,3,Better,10,7,5,7
26,Yes,Travel_Rarely,471,Research & Development,24,Bachelor,Technical Degree,1,622,High,Male,66,Low,1,Laboratory Technician,4,Single,2340,23213,1,Y,Yes,18,Excellent,Medium,80,0,1,3,Bad,1,0,0,0
37,No,Travel_Rarely,799,Research & Development,1,Bachelor,Technical Degree,1,623,Medium,Female,59,High,3,Manufacturing Director,4,Single,7491,23848,4,Y,No,17,Excellent,Very High,80,0,12,3,Best,6,5,1,2
46,No,Travel_Frequently,1034,Research & Development,18,Below College,Medical,1,624,Low,Female,86,High,3,Healthcare Representative,3,Married,10527,8984,5,Y,No,11,Excellent,Very High,80,0,28,3,Good,2,2,1,2
41,No,Travel_Rarely,1276,Sales,2,Doctor,Life Sciences,1,625,Medium,Female,91,High,4,Manager,1,Married,16595,5626,7,Y,No,16,Excellent,Medium,80,1,22,2,Better,18,16,11,8
37,No,Non-Travel,142,Sales,9,Master,Medical,1,626,Low,Male,69,High,3,Sales Executive,2,Divorced,8834,24666,1,Y,No,13,Excellent,Very High,80,1,9,6,Better,9,5,7,7
52,No,Travel_Rarely,956,Research & Development,6,College,Technical Degree,1,630,Very High,Male,78,High,2,Research Scientist,1,Divorced,5577,22087,3,Y,Yes,12,Excellent,Medium,80,2,18,3,Better,10,9,6,9
32,Yes,Non-Travel,1474,Sales,11,Master,Other,1,631,Very High,Male,60,Very High,2,Sales Executive,3,Married,4707,23914,8,Y,No,12,Excellent,Very High,80,0,6,2,Better,4,2,1,2
24,No,Travel_Frequently,535,Sales,24,Bachelor,Medical,1,632,Very High,Male,38,High,1,Sales Representative,4,Married,2400,5530,0,Y,No,13,Excellent,High,80,2,3,3,Better,2,2,2,1
38,No,Travel_Rarely,1495,Research & Development,10,Bachelor,Medical,1,634,High,Female,76,High,2,Healthcare Representative,3,Married,9824,22174,3,Y,No,19,Excellent,High,80,1,18,4,Better,1,0,0,0
37,No,Travel_Rarely,446,Research & Development,1,Master,Life Sciences,1,635,Medium,Female,65,High,2,Manufacturing Director,2,Married,6447,15701,6,Y,No,12,Excellent,Medium,80,1,8,2,Good,6,5,4,3
49,No,Travel_Rarely,1245,Research & Development,18,Master,Life Sciences,1,638,Very High,Male,58,Medium,5,Research Director,3,Divorced,19502,2125,1,Y,Yes,17,Excellent,High,80,1,31,5,Better,31,9,0,9
24,No,Travel_Rarely,691,Research & Development,23,Bachelor,Medical,1,639,Medium,Male,89,Very High,1,Research Scientist,4,Married,2725,21630,1,Y,Yes,11,Excellent,Medium,80,2,6,3,Better,6,5,1,4
26,No,Travel_Rarely,703,Sales,28,College,Marketing,1,641,Low,Male,66,High,2,Sales Executive,2,Married,6272,7428,1,Y,No,20,Outstanding,Very High,80,2,6,5,Best,5,3,1,4
24,No,Travel_Rarely,823,Research & Development,17,College,Other,1,643,Very High,Male,94,Medium,1,Laboratory Technician,2,Married,2127,9100,1,Y,No,21,Outstanding,Very High,80,1,1,2,Better,1,0,0,0
50,No,Travel_Frequently,1246,Human Resources,3,Bachelor,Medical,1,644,Low,Male,99,High,5,Manager,2,Married,18200,7999,1,Y,No,11,Excellent,High,80,1,32,2,Better,32,5,10,7
25,No,Travel_Rarely,622,Sales,13,Below College,Medical,1,645,Medium,Male,40,High,1,Sales Representative,3,Married,2096,26376,1,Y,No,11,Excellent,High,80,0,7,1,Better,7,4,0,6
24,Yes,Travel_Frequently,1287,Research & Development,7,Bachelor,Life Sciences,1,647,Low,Female,55,High,1,Laboratory Technician,3,Married,2886,14168,1,Y,Yes,16,Excellent,Very High,80,1,6,4,Better,6,3,1,2
30,Yes,Travel_Frequently,448,Sales,12,Master,Life Sciences,1,648,Medium,Male,74,Medium,1,Sales Representative,1,Married,2033,14470,1,Y,No,18,Excellent,High,80,1,1,2,Best,1,0,0,0
34,No,Travel_Rarely,254,Research & Development,1,College,Life Sciences,1,649,Medium,Male,83,Medium,1,Research Scientist,4,Married,3622,22794,1,Y,Yes,13,Excellent,Very High,80,1,6,3,Better,6,5,1,3
31,Yes,Travel_Rarely,1365,Sales,13,Master,Medical,1,650,Medium,Male,46,High,2,Sales Executive,1,Divorced,4233,11512,2,Y,No,17,Excellent,High,80,0,9,2,Bad,3,1,1,2
35,No,Travel_Rarely,538,Research & Development,25,College,Other,1,652,Low,Male,54,Medium,2,Laboratory Technician,4,Single,3681,14004,4,Y,No,14,Excellent,Very High,80,0,9,3,Better,3,2,0,2
31,No,Travel_Rarely,525,Sales,6,Master,Medical,1,653,Low,Male,66,Very High,2,Sales Executive,4,Divorced,5460,6219,4,Y,No,22,Outstanding,Very High,80,2,13,4,Best,7,7,5,7
27,No,Travel_Rarely,798,Research & Development,6,Master,Medical,1,655,Low,Female,66,Medium,1,Research Scientist,3,Divorced,2187,5013,0,Y,No,12,Excellent,High,80,2,6,5,Good,5,3,0,3
37,No,Travel_Rarely,558,Sales,2,Bachelor,Marketing,1,656,Very High,Male,75,High,2,Sales Executive,3,Married,9602,3010,4,Y,Yes,11,Excellent,High,80,1,17,3,Good,3,0,1,0
20,No,Travel_Rarely,959,Research & Development,1,Bachelor,Life Sciences,1,657,Very High,Female,83,Medium,1,Research Scientist,2,Single,2836,11757,1,Y,No,13,Excellent,Very High,80,0,1,0,Best,1,0,0,0
42,No,Travel_Rarely,622,Research & Development,2,Master,Life Sciences,1,659,High,Female,81,High,2,Healthcare Representative,4,Married,4089,5718,1,Y,No,13,Excellent,Medium,80,2,10,4,Better,10,2,2,2
43,No,Travel_Rarely,782,Research & Development,6,Master,Other,1,661,Medium,Male,50,Medium,4,Research Director,4,Divorced,16627,2671,4,Y,Yes,14,Excellent,High,80,1,21,3,Good,1,0,0,0
38,No,Travel_Rarely,362,Research & Development,1,Below College,Life Sciences,1,662,High,Female,43,High,1,Research Scientist,1,Single,2619,14561,3,Y,No,17,Excellent,Very High,80,0,8,3,Good,0,0,0,0
43,No,Travel_Frequently,1001,Research & Development,9,Doctor,Medical,1,663,Very High,Male,72,High,2,Laboratory Technician,3,Divorced,5679,19627,3,Y,Yes,13,Excellent,Medium,80,1,10,3,Better,8,7,4,7
48,No,Travel_Rarely,1236,Research & Development,1,Master,Life Sciences,1,664,Very High,Female,40,Medium,4,Manager,1,Married,15402,17997,7,Y,No,11,Excellent,Low,80,1,21,3,Bad,3,2,0,2
44,No,Travel_Rarely,1112,Human Resources,1,Master,Life Sciences,1,665,Low,Female,50,Medium,2,Human Resources,3,Single,5985,26894,4,Y,No,11,Excellent,Medium,80,0,10,1,Best,2,2,0,2
34,No,Travel_Rarely,204,Sales,14,Bachelor,Technical Degree,1,666,High,Female,31,High,1,Sales Representative,3,Divorced,2579,2912,1,Y,Yes,18,Excellent,Very High,80,2,8,3,Better,8,2,0,6
27,Yes,Travel_Rarely,1420,Sales,2,Below College,Marketing,1,667,High,Male,85,High,1,Sales Representative,1,Divorced,3041,16346,0,Y,No,11,Excellent,Medium,80,1,5,3,Better,4,3,0,2
21,No,Travel_Rarely,1343,Sales,22,Below College,Technical Degree,1,669,High,Male,49,High,1,Sales Representative,3,Single,3447,24444,1,Y,No,11,Excellent,High,80,0,3,2,Better,3,2,1,2
44,No,Travel_Rarely,1315,Research & Development,3,Master,Other,1,671,Very High,Male,35,High,5,Manager,4,Married,19513,9358,4,Y,Yes,12,Excellent,Low,80,1,26,2,Best,2,2,0,1
22,No,Travel_Rarely,604,Research & Development,6,Below College,Medical,1,675,Low,Male,69,High,1,Research Scientist,3,Married,2773,12145,0,Y,No,20,Outstanding,Very High,80,0,3,3,Better,2,2,2,2
33,No,Travel_Rarely,1216,Sales,8,Master,Marketing,1,677,High,Male,39,High,2,Sales Executive,3,Divorced,7104,20431,0,Y,No,12,Excellent,Very High,80,0,6,3,Better,5,0,1,2
32,No,Travel_Rarely,646,Research & Development,9,Master,Life Sciences,1,679,Low,Female,92,High,2,Research Scientist,4,Married,6322,18089,1,Y,Yes,12,Excellent,Very High,80,1,6,2,Good,6,4,0,5
30,No,Travel_Frequently,160,Research & Development,3,Bachelor,Medical,1,680,High,Female,71,High,1,Research Scientist,3,Divorced,2083,22653,1,Y,No,20,Outstanding,High,80,1,1,2,Better,1,0,0,0
53,No,Travel_Rarely,238,Sales,1,Below College,Medical,1,682,Very High,Female,34,High,2,Sales Executive,1,Single,8381,7507,7,Y,No,20,Outstanding,Very High,80,0,18,2,Best,14,7,8,10
34,No,Travel_Rarely,1397,Research & Development,1,Doctor,Life Sciences,1,683,Medium,Male,42,High,1,Research Scientist,4,Married,2691,7660,1,Y,No,12,Excellent,Very High,80,1,10,4,Good,10,9,8,8
45,Yes,Travel_Frequently,306,Sales,26,Master,Life Sciences,1,684,Low,Female,100,High,2,Sales Executive,1,Married,4286,5630,2,Y,No,14,Excellent,Very High,80,2,5,4,Better,1,1,0,0
26,No,Travel_Rarely,991,Research & Development,6,Bachelor,Life Sciences,1,686,High,Female,71,High,1,Laboratory Technician,4,Married,2659,17759,1,Y,Yes,13,Excellent,High,80,1,3,2,Better,3,2,0,2
37,No,Travel_Rarely,482,Research & Development,3,Bachelor,Other,1,689,High,Male,36,High,3,Manufacturing Director,3,Married,9434,9606,1,Y,No,15,Excellent,High,80,1,10,2,Better,10,7,7,8
29,No,Travel_Rarely,1176,Sales,3,College,Medical,1,690,Medium,Female,62,High,2,Sales Executive,3,Married,5561,3487,1,Y,No,14,Excellent,Low,80,1,6,5,Good,6,0,1,2
35,No,Travel_Rarely,1017,Research & Development,6,Master,Life Sciences,1,691,Medium,Male,82,Low,2,Research Scientist,4,Single,6646,19368,1,Y,No,13,Excellent,Medium,80,0,17,3,Better,17,11,11,8
33,No,Travel_Frequently,1296,Research & Development,6,Bachelor,Life Sciences,1,692,High,Male,30,High,2,Healthcare Representative,4,Divorced,7725,5335,3,Y,No,23,Outstanding,High,80,1,15,2,Bad,13,11,4,7
54,No,Travel_Rarely,397,Human Resources,19,Master,Medical,1,698,High,Male,88,High,3,Human Resources,2,Married,10725,6729,2,Y,No,15,Excellent,High,80,1,16,1,Best,9,7,7,1
36,No,Travel_Rarely,913,Research & Development,9,College,Medical,1,699,Medium,Male,48,Medium,2,Manufacturing Director,2,Divorced,8847,13934,2,Y,Yes,11,Excellent,High,80,1,13,2,Better,3,2,0,2
27,No,Travel_Rarely,1115,Research & Development,3,Master,Medical,1,700,Low,Male,54,Medium,1,Research Scientist,4,Single,2045,15174,0,Y,No,13,Excellent,Very High,80,0,5,0,Better,4,2,1,1
20,Yes,Travel_Rarely,1362,Research & Development,10,Below College,Medical,1,701,Very High,Male,32,High,1,Research Scientist,3,Single,1009,26999,1,Y,Yes,11,Excellent,Very High,80,0,1,5,Better,1,0,1,1
33,Yes,Travel_Frequently,1076,Research & Development,3,Bachelor,Life Sciences,1,702,Low,Male,70,High,1,Research Scientist,1,Single,3348,3164,1,Y,Yes,11,Excellent,Low,80,0,10,3,Better,10,8,9,7
35,No,Non-Travel,727,Research & Development,3,Bachelor,Life Sciences,1,704,High,Male,41,Medium,1,Laboratory Technician,3,Married,1281,16900,1,Y,No,18,Excellent,High,80,2,1,3,Better,1,0,0,0
23,No,Travel_Rarely,885,Research & Development,4,Bachelor,Medical,1,705,Low,Male,58,Very High,1,Research Scientist,1,Married,2819,8544,2,Y,No,16,Excellent,Low,80,1,5,3,Best,3,2,0,2
25,No,Travel_Rarely,810,Sales,8,Bachelor,Life Sciences,1,707,Very High,Male,57,Very High,2,Sales Executive,2,Married,4851,15678,0,Y,No,22,Outstanding,High,80,1,4,4,Better,3,2,1,2
